"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"222043_at"	"0.0395"	"0.00000177"	"-8.2573234"	"3.2087"	"-1.5791962"	"CLU"	"clusterin"
"221328_at"	"0.2035"	"0.00001826"	"-6.6132796"	"1.9043"	"-1.4009323"	"CLDN17"	"claudin 17"
"206303_s_at"	"0.2704"	"0.00004317"	"6.0624299"	"1.3708"	"2.1216717"	"NUDT4P1///NUDT4P2///NUDT4"	"nudix hydrolase 4 pseudogene 1///nudix hydrolase 4 pseudogene 2///nudix hydrolase 4"
"219409_at"	"0.2704"	"0.00004854"	"5.989406"	"1.296"	"1.9297667"	"SNIP1"	"Smad nuclear interacting protein 1"
"205371_s_at"	"0.3563"	"0.00007995"	"5.6835856"	"0.9724"	"2.9782827"	"DBT"	"dihydrolipoamide branched chain transacylase E2"
"203181_x_at"	"0.3583"	"0.00009647"	"-5.5704465"	"0.8482"	"-1.8034058"	"SRPK2"	"SRSF protein kinase 2"
"207781_s_at"	"0.3675"	"0.000147"	"5.3206501"	"0.5658"	"3.0173263"	"ZNF711"	"zinc finger protein 711"
"215433_at"	"0.3675"	"0.00015691"	"-5.2823992"	"0.5215"	"-1.4102432"	"DPY19L1"	"dpy-19 like 1"
"208043_at"	"0.3675"	"0.00018531"	"-5.1853987"	"0.4079"	"-1.0333196"	""	""
"204712_at"	"0.3675"	"0.00024487"	"-5.0245817"	"0.2158"	"-2.2219156"	"WIF1"	"WNT inhibitory factor 1"
"205408_at"	"0.3675"	"0.00026812"	"4.9726705"	"0.1527"	"1.7554473"	"MLLT10"	"myeloid/lymphoid or mixed-lineage leukemia; translocated to, 10"
"211518_s_at"	"0.3675"	"0.00027506"	"-4.95809"	"0.135"	"-1.9642777"	"BMP4"	"bone morphogenetic protein 4"
"207730_x_at"	"0.3675"	"0.0002753"	"-4.9575924"	"0.1343"	"-0.8519417"	""	""
"216530_at"	"0.3675"	"0.00027729"	"4.9534944"	"0.1293"	"1.3965399"	""	""
"206975_at"	"0.3675"	"0.00027817"	"-4.9516805"	"0.1271"	"-1.4504547"	"LTA"	"lymphotoxin alpha"
"212418_at"	"0.3675"	"0.00028026"	"4.9474048"	"0.1219"	"1.4017013"	"ELF1"	"E74 like ETS transcription factor 1"
"200653_s_at"	"0.3675"	"0.00029584"	"-4.9166013"	"0.0841"	"-1.1458085"	"CALM3///CALM2///CALM1"	"calmodulin 3///calmodulin 2///calmodulin 1"
"216639_at"	"0.3675"	"0.00029684"	"4.9146878"	"0.0817"	"2.0291138"	"SRPX2"	"sushi repeat containing protein, X-linked 2"
"212979_s_at"	"0.4104"	"0.0003593"	"4.8065272"	"-0.0524"	"3.1052539"	"LOC100294033///TCAF1"	"protein FAM115A-like///TRPM8 channel associated factor 1"
"203559_s_at"	"0.4104"	"0.00038787"	"-4.7634426"	"-0.1064"	"-1.9031022"	"AOC1"	"amine oxidase, copper containing 1"
"216726_at"	"0.4104"	"0.00041733"	"4.7223258"	"-0.1583"	"0.9714514"	"VENTXP1"	"VENT homeobox pseudogene 1"
"200628_s_at"	"0.4104"	"0.00043194"	"4.7030536"	"-0.1827"	"1.2204766"	"WARS"	"tryptophanyl-tRNA synthetase"
"222348_at"	"0.4104"	"0.00044439"	"-4.6871506"	"-0.2029"	"-1.7641394"	"MAST4"	"microtubule associated serine/threonine kinase family member 4"
"214044_at"	"0.4104"	"0.00049032"	"-4.6322485"	"-0.273"	"-1.7701913"	"RYR2"	"ryanodine receptor 2"
"220035_at"	"0.4104"	"0.0004984"	"-4.6231492"	"-0.2847"	"-1.5676701"	"NUP210"	"nucleoporin 210"
"222358_x_at"	"0.4104"	"0.00050207"	"-4.6190629"	"-0.2899"	"-1.5127473"	""	""
"204363_at"	"0.4104"	"0.00055461"	"-4.5637709"	"-0.3612"	"-1.8310866"	"F3"	"coagulation factor III, tissue factor"
"220773_s_at"	"0.4104"	"0.00058998"	"4.5295283"	"-0.4056"	"1.1248775"	"GPHN"	"gephyrin"
"209376_x_at"	"0.4104"	"0.0006187"	"-4.5032612"	"-0.4398"	"-1.5072724"	"SCAF11"	"SR-related CTD associated factor 11"
"214722_at"	"0.4104"	"0.00061986"	"-4.5022238"	"-0.4411"	"-1.1639468"	"NOTCH2NL"	"notch 2 N-terminal like"
"207453_s_at"	"0.4104"	"0.00062191"	"4.500401"	"-0.4435"	"1.7536657"	"DNAJB5"	"DnaJ heat shock protein family (Hsp40) member B5"
"220184_at"	"0.4104"	"0.00062616"	"-4.4966386"	"-0.4484"	"-2.5324163"	"NANOG"	"Nanog homeobox"
"219936_s_at"	"0.4104"	"0.0006415"	"4.4832861"	"-0.4658"	"2.1361497"	"GPR87"	"G protein-coupled receptor 87"
"215575_at"	"0.4104"	"0.00065969"	"-4.467873"	"-0.486"	"-0.9122187"	"PDE4DIP"	"phosphodiesterase 4D interacting protein"
"221795_at"	"0.4104"	"0.00066461"	"-4.4637794"	"-0.4914"	"-1.7950254"	"NTRK2"	"neurotrophic receptor tyrosine kinase 2"
"210811_s_at"	"0.4104"	"0.00069967"	"-4.4354906"	"-0.5285"	"-1.2540619"	"DDX49"	"DEAD-box helicase 49"
"221748_s_at"	"0.4104"	"0.00073011"	"-4.4120975"	"-0.5594"	"-0.9324364"	"TNS1"	"tensin 1"
"214540_at"	"0.4104"	"0.00073884"	"4.4055726"	"-0.568"	"1.43627"	"HIST1H2BO"	"histone cluster 1, H2bo"
"206792_x_at"	"0.4104"	"0.00073913"	"-4.4053599"	"-0.5683"	"-0.8062929"	"LOC729966///PDE4C"	"uncharacterized LOC729966///phosphodiesterase 4C"
"214770_at"	"0.4104"	"0.00077047"	"-4.3825831"	"-0.5984"	"-2.0518758"	"MSR1"	"macrophage scavenger receptor 1"
"211655_at"	"0.4104"	"0.00077774"	"4.3774414"	"-0.6052"	"1.994282"	"IGLC1"	"immunoglobulin lambda constant 1"
"33148_at"	"0.4104"	"0.0007888"	"-4.3697102"	"-0.6155"	"-1.5772056"	"ZFR"	"zinc finger RNA binding protein"
"205134_s_at"	"0.4104"	"0.00079672"	"-4.364242"	"-0.6227"	"-1.1148686"	"NUFIP1"	"NUFIP1, FMR1 interacting protein 1"
"203394_s_at"	"0.4104"	"0.00082637"	"-4.3442568"	"-0.6493"	"-1.4606431"	"HES1"	"hes family bHLH transcription factor 1"
"221705_s_at"	"0.4104"	"0.00082886"	"-4.3426127"	"-0.6515"	"-1.2507061"	"SIKE1"	"suppressor of IKBKE 1"
"214820_at"	"0.4303"	"0.00094079"	"4.273524"	"-0.7439"	"1.9262539"	"BRWD1"	"bromodomain and WD repeat domain containing 1"
"204686_at"	"0.4303"	"0.00094112"	"-4.2733344"	"-0.7442"	"-0.8263565"	"IRS1"	"insulin receptor substrate 1"
"209698_at"	"0.4303"	"0.00095442"	"-4.2656973"	"-0.7544"	"-1.0636611"	"CCHCR1"	"coiled-coil alpha-helical rod protein 1"
"211090_s_at"	"0.4303"	"0.00097259"	"4.2554394"	"-0.7682"	"2.5021414"	"PRPF4B"	"pre-mRNA processing factor 4B"
"203334_at"	"0.4303"	"0.00097928"	"-4.2517132"	"-0.7732"	"-1.5288916"	"DHX8"	"DEAH-box helicase 8"
"203766_s_at"	"0.4303"	"0.00105476"	"-4.211401"	"-0.8277"	"-1.3350104"	"LMOD1"	"leiomodin 1"
"211132_at"	"0.4303"	"0.00105697"	"-4.2102651"	"-0.8292"	"-1.9219032"	"INTS3"	"integrator complex subunit 3"
"210399_x_at"	"0.4303"	"0.00106923"	"-4.2040139"	"-0.8377"	"-1.1617795"	"FUT6"	"fucosyltransferase 6"
"215442_s_at"	"0.4303"	"0.00107332"	"-4.2019428"	"-0.8405"	"-1.8837778"	"TSHR"	"thyroid stimulating hormone receptor"
"204835_at"	"0.4303"	"0.00111607"	"4.1807877"	"-0.8692"	"0.9291567"	"POLA1"	"DNA polymerase alpha 1, catalytic subunit"
"220278_at"	"0.4303"	"0.00113227"	"-4.172988"	"-0.8797"	"-2.4704783"	"KDM4D"	"lysine demethylase 4D"
"218983_at"	"0.4303"	"0.00114815"	"-4.1654569"	"-0.89"	"-1.0297392"	"C1RL"	"complement C1r subcomponent like"
"207590_s_at"	"0.4303"	"0.00116137"	"4.1592633"	"-0.8984"	"1.8227695"	"CENPI"	"centromere protein I"
"213068_at"	"0.4303"	"0.00116304"	"-4.1584897"	"-0.8995"	"-0.7593573"	"DPT"	"dermatopontin"
"211386_at"	"0.4303"	"0.0012067"	"-4.1385764"	"-0.9266"	"-1.4447376"	"MGC12488"	"uncharacterized protein MGC12488"
"202844_s_at"	"0.4303"	"0.00120932"	"-4.1374041"	"-0.9282"	"-2.0415187"	"RALBP1"	"ralA binding protein 1"
"212095_s_at"	"0.4303"	"0.00122536"	"-4.1302879"	"-0.9379"	"-1.6696508"	"MTUS1"	"microtubule associated tumor suppressor 1"
"203597_s_at"	"0.4303"	"0.0012351"	"-4.1260152"	"-0.9438"	"-0.9768165"	"WBP4"	"WW domain binding protein 4"
"219002_at"	"0.4303"	"0.001244"	"4.1221405"	"-0.9491"	"1.0061013"	"FASTKD1"	"FAST kinase domains 1"
"216771_at"	"0.4303"	"0.00125609"	"-4.1169252"	"-0.9562"	"-1.4861751"	"LOC101926997"	"uncharacterized LOC101926997"
"205345_at"	"0.4303"	"0.00128543"	"-4.1044755"	"-0.9732"	"-1.8067456"	"BARD1"	"BRCA1 associated RING domain 1"
"213619_at"	"0.4303"	"0.00132226"	"-4.0892542"	"-0.9941"	"-1.4625326"	"HNRNPH1"	"heterogeneous nuclear ribonucleoprotein H1 (H)"
"209164_s_at"	"0.4303"	"0.0013469"	"4.0793099"	"-1.0078"	"1.3616002"	"CYB561"	"cytochrome b561"
"208253_at"	"0.4303"	"0.00136366"	"-4.0726556"	"-1.0169"	"-2.13213"	"SIGLEC8"	"sialic acid binding Ig like lectin 8"
"204894_s_at"	"0.4303"	"0.00137622"	"-4.0677215"	"-1.0237"	"-0.8950279"	"AOC3"	"amine oxidase, copper containing 3"
"219316_s_at"	"0.4303"	"0.00138447"	"-4.0645061"	"-1.0281"	"-1.4397089"	"FLVCR2"	"feline leukemia virus subgroup C cellular receptor family member 2"
"221920_s_at"	"0.4303"	"0.00139908"	"4.0588605"	"-1.0359"	"0.9662796"	"SLC25A37"	"solute carrier family 25 member 37"
"200669_s_at"	"0.4303"	"0.00140969"	"4.0547971"	"-1.0415"	"0.7477019"	"UBE2D3"	"ubiquitin conjugating enzyme E2 D3"
"208792_s_at"	"0.4406"	"0.00146323"	"-4.0347698"	"-1.0691"	"-1.2655687"	"CLU"	"clusterin"
"208229_at"	"0.444"	"0.0014943"	"-4.0234888"	"-1.0847"	"-2.0180131"	"FGFR2"	"fibroblast growth factor receptor 2"
"208895_s_at"	"0.4487"	"0.00154317"	"-4.0062215"	"-1.1086"	"-1.0865692"	"DDX18"	"DEAD-box helicase 18"
"204409_s_at"	"0.4487"	"0.0015873"	"-3.991107"	"-1.1295"	"-0.7310795"	"EIF1AY"	"eukaryotic translation initiation factor 1A, Y-linked"
"212057_at"	"0.4487"	"0.00159918"	"3.9871096"	"-1.1351"	"0.8244106"	"GSE1"	"Gse1 coiled-coil protein"
"216952_s_at"	"0.4487"	"0.00163976"	"3.9736907"	"-1.1537"	"1.6449535"	"LMNB2"	"lamin B2"
"216892_at"	"0.4487"	"0.00164209"	"3.9729284"	"-1.1547"	"1.551587"	"IGHG1"	"immunoglobulin heavy constant gamma 1 (G1m marker)"
"205492_s_at"	"0.4487"	"0.00164755"	"-3.9711521"	"-1.1572"	"-1.4510307"	"DPYSL4"	"dihydropyrimidinase like 4"
"206124_s_at"	"0.4487"	"0.00165122"	"3.96996"	"-1.1589"	"1.4781479"	"LLGL1"	"LLGL1, scribble cell polarity complex component"
"204840_s_at"	"0.449"	"0.0017162"	"-3.9493105"	"-1.1876"	"-2.1071937"	"EEA1"	"early endosome antigen 1"
"202456_s_at"	"0.449"	"0.00173488"	"3.9435211"	"-1.1957"	"1.2332931"	"ZER1"	"zyg-11 related cell cycle regulator"
"217667_at"	"0.449"	"0.00173865"	"-3.9423618"	"-1.1973"	"-1.809541"	"SEC14L1P1"	"SEC14 like 1 pseudogene 1"
"219935_at"	"0.449"	"0.00176734"	"-3.9336134"	"-1.2095"	"-0.7769139"	"ADAMTS5"	"ADAM metallopeptidase with thrombospondin type 1 motif 5"
"221127_s_at"	"0.449"	"0.00177988"	"-3.9298346"	"-1.2147"	"-1.6127449"	"DKK3"	"dickkopf WNT signaling pathway inhibitor 3"
"221988_at"	"0.449"	"0.00179041"	"-3.9266839"	"-1.2191"	"-0.7090058"	"SMIM7"	"small integral membrane protein 7"
"210747_at"	"0.449"	"0.00179317"	"-3.9258606"	"-1.2203"	"-1.6608648"	"HLA-DQB1"	"major histocompatibility complex, class II, DQ beta 1"
"208075_s_at"	"0.4582"	"0.00185053"	"-3.9090458"	"-1.2438"	"-1.4101141"	"CCL7"	"C-C motif chemokine ligand 7"
"219252_s_at"	"0.4854"	"0.00199531"	"3.8688763"	"-1.3001"	"0.9084828"	"GEMIN8"	"gem nuclear organelle associated protein 8"
"206173_x_at"	"0.4854"	"0.00200398"	"3.8665678"	"-1.3033"	"1.5182853"	"GABPB1"	"GA binding protein transcription factor beta subunit 1"
"210153_s_at"	"0.4932"	"0.00207577"	"3.8478246"	"-1.3297"	"1.0297614"	"ME2"	"malic enzyme 2"
"213663_s_at"	"0.4932"	"0.00212226"	"-3.8360368"	"-1.3462"	"-2.3979845"	"FAM134B"	"family with sequence similarity 134 member B"
"202092_s_at"	"0.4932"	"0.00214102"	"3.8313548"	"-1.3528"	"0.7827007"	"ARL2BP"	"ADP ribosylation factor like GTPase 2 binding protein"
"201490_s_at"	"0.4932"	"0.00214429"	"3.8305433"	"-1.354"	"1.521273"	"PPIF"	"peptidylprolyl isomerase F"
"205641_s_at"	"0.4932"	"0.00215764"	"-3.827242"	"-1.3586"	"-1.8659864"	"TRADD"	"TNFRSF1A associated via death domain"
"213162_at"	"0.4932"	"0.00216918"	"3.8244052"	"-1.3626"	"1.0262154"	"DYNC1LI2"	"dynein cytoplasmic 1 light intermediate chain 2"
"213649_at"	"0.4969"	"0.00222722"	"3.8103702"	"-1.3824"	"1.6254652"	"SRSF7"	"serine and arginine rich splicing factor 7"
"221449_s_at"	"0.4969"	"0.00223872"	"3.8076313"	"-1.3863"	"0.9023888"	"ITFG1"	"integrin alpha FG-GAP repeat containing 1"
"201196_s_at"	"0.4969"	"0.00229818"	"3.7937081"	"-1.406"	"0.8600752"	"AMD1"	"adenosylmethionine decarboxylase 1"
"202645_s_at"	"0.4969"	"0.00229866"	"3.7935962"	"-1.4061"	"0.8144483"	"MEN1"	"menin 1"
"207722_s_at"	"0.4969"	"0.00234303"	"3.7834454"	"-1.4205"	"0.7761583"	"BTBD2"	"BTB domain containing 2"
"202222_s_at"	"0.4969"	"0.00234999"	"-3.7818705"	"-1.4227"	"-0.7126988"	"DES"	"desmin"
"218647_s_at"	"0.4969"	"0.00241371"	"-3.7676731"	"-1.4428"	"-0.7316077"	"YRDC"	"yrdC N6-threonylcarbamoyltransferase domain containing"
"208350_at"	"0.4969"	"0.00243495"	"3.7630258"	"-1.4494"	"1.6680474"	"CSN1S1"	"casein alpha s1"
"214324_at"	"0.4969"	"0.00245978"	"-3.7576453"	"-1.457"	"-1.1345053"	"GP2"	"glycoprotein 2"
"204167_at"	"0.4969"	"0.00246128"	"3.757321"	"-1.4575"	"1.1837475"	"BTD"	"biotinidase"
"217158_at"	"0.4969"	"0.00246245"	"3.7570682"	"-1.4578"	"1.0587356"	"PTGER4P2-CDK2AP2P2"	"PTGER4P2-CDK2AP2P2 readthrough, transcribed pseudogene"
"216739_at"	"0.4969"	"0.00247338"	"-3.7547196"	"-1.4612"	"-1.2744282"	""	""
"203076_s_at"	"0.4969"	"0.00248136"	"3.7530129"	"-1.4636"	"0.8966802"	"SMAD2"	"SMAD family member 2"
"203387_s_at"	"0.4969"	"0.00249752"	"3.7495715"	"-1.4685"	"0.7079347"	"TBC1D4"	"TBC1 domain family member 4"
"207275_s_at"	"0.5027"	"0.00255448"	"3.7376198"	"-1.4854"	"1.0787231"	"ACSL1"	"acyl-CoA synthetase long-chain family member 1"
"215692_s_at"	"0.5027"	"0.00258423"	"-3.7314836"	"-1.4942"	"-0.7223123"	"MPPED2"	"metallophosphoesterase domain containing 2"
"208139_s_at"	"0.5027"	"0.00259486"	"3.7293102"	"-1.4973"	"1.4396936"	""	""
"205038_at"	"0.5027"	"0.00261676"	"3.7248589"	"-1.5036"	"1.7539426"	"IKZF1"	"IKAROS family zinc finger 1"
"208791_at"	"0.5096"	"0.00268186"	"-3.7118455"	"-1.5221"	"-1.0385153"	"CLU"	"clusterin"
