"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"213931_at"	"0.5096"	"0.00271845"	"-3.7046741"	"-1.5323"	"-2.1720569"	"ID2B///ID2"	"inhibitor of DNA binding 2B, HLH protein (pseudogene)///inhibitor of DNA binding 2, HLH protein"
"201355_s_at"	"0.5096"	"0.00272369"	"-3.7036535"	"-1.5338"	"-0.6607659"	"BAZ2A"	"bromodomain adjacent to zinc finger domain 2A"
"206751_s_at"	"0.5096"	"0.00276455"	"3.6957743"	"-1.545"	"1.4827078"	"PCYT1B"	"phosphate cytidylyltransferase 1, choline, beta"
"213333_at"	"0.5096"	"0.00277588"	"3.6936111"	"-1.5481"	"0.9044356"	"MDH2"	"malate dehydrogenase 2"
"207654_x_at"	"0.5096"	"0.00278987"	"3.6909526"	"-1.5519"	"0.7591995"	"DR1"	"down-regulator of transcription 1"
"210815_s_at"	"0.5144"	"0.00283943"	"3.6816384"	"-1.5652"	"1.757431"	"CALCRL"	"calcitonin receptor like receptor"
"200834_s_at"	"0.536"	"0.0030179"	"-3.649423"	"-1.6112"	"-0.8140815"	"RPS21"	"ribosomal protein S21"
"206089_at"	"0.536"	"0.00303601"	"-3.6462633"	"-1.6157"	"-1.5362678"	"NELL1"	"neural EGFL like 1"
"206099_at"	"0.536"	"0.00305122"	"3.643624"	"-1.6195"	"1.5302057"	"PRKCH"	"protein kinase C eta"
"208137_x_at"	"0.536"	"0.00311077"	"-3.6334188"	"-1.6341"	"-0.8332331"	"ZNF611"	"zinc finger protein 611"
"210802_s_at"	"0.536"	"0.00311337"	"3.6329772"	"-1.6347"	"2.185502"	"DIMT1"	"DIM1 dimethyladenosine transferase 1 homolog"
"207896_s_at"	"0.536"	"0.00312359"	"-3.631247"	"-1.6372"	"-0.7434789"	"DLEC1"	"deleted in lung and esophageal cancer 1"
"204460_s_at"	"0.536"	"0.00313497"	"3.629327"	"-1.64"	"1.6729522"	"RAD1"	"RAD1 checkpoint DNA exonuclease"
"213204_at"	"0.536"	"0.00323896"	"-3.6121063"	"-1.6647"	"-0.9368959"	"CUL9"	"cullin 9"
"210612_s_at"	"0.536"	"0.00330288"	"3.6017985"	"-1.6795"	"0.9603968"	"SYNJ2"	"synaptojanin 2"
"207585_s_at"	"0.536"	"0.00330389"	"-3.6016369"	"-1.6797"	"-0.8735307"	"RPL36AL"	"ribosomal protein L36a like"
"221151_at"	"0.536"	"0.00338891"	"3.5882401"	"-1.6989"	"1.0258537"	"PRDM9"	"PR/SET domain 9"
"205081_at"	"0.536"	"0.00343792"	"-3.5806718"	"-1.7098"	"-1.6834143"	"CRIP1"	"cysteine rich protein 1"
"218228_s_at"	"0.536"	"0.00344167"	"3.5800982"	"-1.7106"	"0.6923129"	"TNKS2"	"tankyrase 2"
"213302_at"	"0.536"	"0.00345553"	"-3.57798"	"-1.7137"	"-0.9384578"	"PFAS"	"phosphoribosylformylglycinamidine synthase"
"207805_s_at"	"0.536"	"0.00345618"	"-3.5778813"	"-1.7138"	"-0.7103069"	"PSMD9"	"proteasome 26S subunit, non-ATPase 9"
"212218_s_at"	"0.536"	"0.003461"	"-3.5771466"	"-1.7149"	"-0.8248327"	"FASN"	"fatty acid synthase"
"202281_at"	"0.536"	"0.00346962"	"-3.5758348"	"-1.7168"	"-1.6337508"	"GAK"	"cyclin G associated kinase"
"218888_s_at"	"0.536"	"0.00347576"	"3.5749038"	"-1.7181"	"0.8122736"	"NETO2"	"neuropilin and tolloid like 2"
"205377_s_at"	"0.536"	"0.00348914"	"3.5728784"	"-1.721"	"0.8512305"	"ACHE"	"acetylcholinesterase (Cartwright blood group)"
"202992_at"	"0.536"	"0.00351404"	"-3.5691325"	"-1.7264"	"-2.4906917"	"C7"	"complement component 7"
"208143_s_at"	"0.536"	"0.00354842"	"-3.5640024"	"-1.7338"	"-2.3498895"	"EDDM3A"	"epididymal protein 3A"
"205964_at"	"0.536"	"0.00363988"	"-3.5505994"	"-1.7531"	"-1.7533327"	"ZNF426"	"zinc finger protein 426"
"211966_at"	"0.536"	"0.00375325"	"3.5344522"	"-1.7764"	"1.2820721"	"COL4A2"	"collagen type IV alpha 2 chain"
"200925_at"	"0.536"	"0.00375943"	"-3.5335869"	"-1.7776"	"-0.7472599"	"COX6A1"	"cytochrome c oxidase subunit 6A1"
"217598_at"	"0.536"	"0.0037626"	"-3.5331435"	"-1.7783"	"-1.677318"	"CINP"	"cyclin dependent kinase 2 interacting protein"
"221966_at"	"0.536"	"0.00376872"	"3.5322881"	"-1.7795"	"0.8769288"	"GPR137"	"G protein-coupled receptor 137"
"215284_at"	"0.536"	"0.00379049"	"-3.5292567"	"-1.7839"	"-0.8429069"	""	""
"202688_at"	"0.536"	"0.00381266"	"3.5261875"	"-1.7883"	"0.9379931"	"TNFSF10"	"tumor necrosis factor superfamily member 10"
"214705_at"	"0.536"	"0.00390077"	"-3.514166"	"-1.8057"	"-1.1813506"	"PATJ"	"PATJ, crumbs cell polarity complex component"
"203901_at"	"0.536"	"0.00393707"	"-3.5092947"	"-1.8127"	"-1.6733339"	"TAB1"	"TGF-beta activated kinase 1 (MAP3K7) binding protein 1"
"214541_s_at"	"0.536"	"0.00394542"	"3.5081797"	"-1.8143"	"2.0095218"	"QKI"	"QKI, KH domain containing RNA binding"
"213803_at"	"0.536"	"0.00395959"	"3.5062941"	"-1.8171"	"0.8853115"	"KPNB1"	"karyopherin subunit beta 1"
"220407_s_at"	"0.536"	"0.00396202"	"3.5059713"	"-1.8175"	"1.4748052"	"TGFB2"	"transforming growth factor beta 2"
"219892_at"	"0.536"	"0.00396906"	"3.5050385"	"-1.8189"	"1.09648"	"TM6SF1"	"transmembrane 6 superfamily member 1"
"213655_at"	"0.536"	"0.00404539"	"-3.4950211"	"-1.8334"	"-1.2203548"	""	""
"212358_at"	"0.536"	"0.00410477"	"-3.4873603"	"-1.8444"	"-1.3286087"	"CLIP3"	"CAP-Gly domain containing linker protein 3"
"204032_at"	"0.536"	"0.00412317"	"3.485009"	"-1.8478"	"0.7749716"	"BCAR3"	"breast cancer anti-estrogen resistance 3"
"204531_s_at"	"0.536"	"0.00413266"	"-3.4837999"	"-1.8496"	"-1.3295808"	"BRCA1"	"BRCA1, DNA repair associated"
"207729_at"	"0.536"	"0.00414948"	"-3.4816653"	"-1.8527"	"-1.7138514"	"CDH9"	"cadherin 9"
"208983_s_at"	"0.536"	"0.004161"	"3.4802083"	"-1.8548"	"1.6652138"	"PECAM1"	"platelet and endothelial cell adhesion molecule 1"
"218860_at"	"0.536"	"0.00419111"	"-3.4764179"	"-1.8603"	"-1.6220945"	"NOC4L"	"nucleolar complex associated 4 homolog"
"209434_s_at"	"0.536"	"0.0042595"	"3.4679127"	"-1.8726"	"1.3781918"	"PPAT"	"phosphoribosyl pyrophosphate amidotransferase"
"201155_s_at"	"0.536"	"0.00429662"	"3.4633529"	"-1.8792"	"1.2335351"	"MFN2"	"mitofusin 2"
"213192_at"	"0.536"	"0.00429685"	"-3.4633254"	"-1.8793"	"-1.3114075"	"THAP3"	"THAP domain containing 3"
"209396_s_at"	"0.536"	"0.0043132"	"3.4613301"	"-1.8821"	"0.6117121"	"CHI3L1"	"chitinase 3 like 1"
"219398_at"	"0.536"	"0.00432506"	"-3.4598874"	"-1.8842"	"-1.17191"	"CIDEC"	"cell death inducing DFFA like effector c"
"218432_at"	"0.536"	"0.00432889"	"3.4594229"	"-1.8849"	"1.0004293"	"FBXO3"	"F-box protein 3"
"218425_at"	"0.536"	"0.00438987"	"-3.4520737"	"-1.8956"	"-0.6029291"	"RNF216"	"ring finger protein 216"
"209736_at"	"0.536"	"0.00439722"	"-3.4511961"	"-1.8968"	"-0.833071"	"SOX13"	"SRY-box 13"
"201060_x_at"	"0.536"	"0.00442009"	"3.4484711"	"-1.9008"	"0.7999898"	"STOM"	"stomatin"
"202069_s_at"	"0.536"	"0.0044249"	"3.4478995"	"-1.9016"	"1.1330014"	"IDH3A"	"isocitrate dehydrogenase 3 (NAD(+)) alpha"
"202920_at"	"0.536"	"0.00444366"	"3.4456776"	"-1.9048"	"0.8223011"	"ANK2"	"ankyrin 2, neuronal"
"210365_at"	"0.536"	"0.00447095"	"-3.4424627"	"-1.9095"	"-1.2954338"	"LOC101928269///LOC100506403///RUNX1"	"uncharacterized LOC101928269///uncharacterized LOC100506403///runt related transcription factor 1"
"215686_x_at"	"0.536"	"0.00447326"	"-3.442191"	"-1.9099"	"-1.3562077"	"TFAP2B"	"transcription factor AP-2 beta"
"218658_s_at"	"0.536"	"0.00451289"	"3.4375595"	"-1.9166"	"1.691819"	"ACTR8"	"ARP8 actin-related protein 8 homolog"
"212306_at"	"0.536"	"0.00452369"	"3.4363046"	"-1.9184"	"0.7213537"	"CLASP2"	"cytoplasmic linker associated protein 2"
"218155_x_at"	"0.536"	"0.00455023"	"-3.4332332"	"-1.9229"	"-0.6455692"	"TSR1"	"TSR1, ribosome maturation factor"
"214451_at"	"0.536"	"0.00458358"	"-3.429399"	"-1.9285"	"-1.5266574"	"TFAP2B"	"transcription factor AP-2 beta"
"208289_s_at"	"0.536"	"0.00458959"	"-3.4287112"	"-1.9295"	"-0.6748759"	"EI24"	"EI24, autophagy associated transmembrane protein"
"207371_at"	"0.536"	"0.00460829"	"-3.4265767"	"-1.9326"	"-1.4609595"	""	""
"219599_at"	"0.536"	"0.00463652"	"-3.4233702"	"-1.9372"	"-1.0519113"	"EIF4B"	"eukaryotic translation initiation factor 4B"
"200691_s_at"	"0.536"	"0.00465601"	"3.4211679"	"-1.9404"	"0.9811216"	"HSPA9"	"heat shock protein family A (Hsp70) member 9"
"200882_s_at"	"0.536"	"0.00469039"	"-3.4173066"	"-1.946"	"-0.6157681"	"PSMD4"	"proteasome 26S subunit, non-ATPase 4"
"201339_s_at"	"0.536"	"0.00469277"	"3.41704"	"-1.9464"	"1.0303344"	"SCP2"	"sterol carrier protein 2"
"201386_s_at"	"0.536"	"0.0047159"	"3.4144604"	"-1.9502"	"1.1860644"	"DHX15"	"DEAH-box helicase 15"
"200914_x_at"	"0.536"	"0.00477589"	"-3.4078256"	"-1.9598"	"-1.1135509"	"KTN1"	"kinectin 1"
"216926_s_at"	"0.536"	"0.00479041"	"3.4062328"	"-1.9621"	"1.4483967"	"MAU2"	"MAU2 sister chromatid cohesion factor"
"202783_at"	"0.536"	"0.00487723"	"3.3968083"	"-1.9758"	"1.3601239"	"NNT"	"nicotinamide nucleotide transhydrogenase"
"216033_s_at"	"0.536"	"0.00488835"	"3.3956143"	"-1.9776"	"1.6732328"	"FYN"	"FYN proto-oncogene, Src family tyrosine kinase"
"202784_s_at"	"0.536"	"0.00489196"	"3.395227"	"-1.9781"	"1.6921419"	"NNT"	"nicotinamide nucleotide transhydrogenase"
"215695_s_at"	"0.536"	"0.00493595"	"-3.3905296"	"-1.985"	"-0.9320702"	"GYG2"	"glycogenin 2"
